geneName	geneID	transcriptName	feature	id	fc	pval	qval
.	MSTRG.1	MSTRG.1.1	transcript	1	0.640632121680033	0.170749130996071	0.177328306454961
.	MSTRG.2	MSTRG.2.1	transcript	2	1.15636797584292	0.170752361529111	0.177328306454961
.	MSTRG.3	MSTRG.3.1	transcript	3	0.744672261293962	0.170754247471528	0.177328306454961
.	MSTRG.4	MSTRG.4.1	transcript	4	0.618262075544427	0.170749249437122	0.177328306454961
.	MSTRG.5	MSTRG.5.1	transcript	5	0.744470588910407	0.170754125219056	0.177328306454961
.	MSTRG.6	MSTRG.6.1	transcript	6	0.566205356958889	0.170747384358919	0.177328306454961
.	MSTRG.7	MSTRG.7.1	transcript	7	0.699710843838517	0.170750033239193	0.177328306454961
.	MSTRG.8	MSTRG.8.1	transcript	8	0.72867920688497	0.170752126879596	0.177328306454961
.	MSTRG.9	MSTRG.9.1	transcript	9	0.621874050351961	0.170750208124064	0.177328306454961
.	MSTRG.10	MSTRG.10.1	transcript	10	0.854029268163891	0.170750819894194	0.177328306454961
.	MSTRG.11	MSTRG.11.1	transcript	11	1.1771098426781	0.170748556759146	0.177328306454961
.	MSTRG.12	MSTRG.12.1	transcript	12	0.737429463748958	0.170750816828044	0.177328306454961
.	MSTRG.13	MSTRG.13.1	transcript	13	0.764225921908026	0.170755334261512	0.177328306454961
.	MSTRG.14	MSTRG.14.1	transcript	14	0.658121127738369	0.170749457483282	0.177328306454961
.	MSTRG.15	MSTRG.15.1	transcript	15	0.594553513999398	0.170747687954493	0.177328306454961
.	MSTRG.16	MSTRG.16.1	transcript	16	0.830567954542268	0.170751940799216	0.177328306454961
.	MSTRG.17	MSTRG.17.1	transcript	17	0.630052562362203	0.170752156703146	0.177328306454961
.	MSTRG.17	MSTRG.17.2	transcript	18	216.083239691499	0.170749676378458	0.177328306454961
.	MSTRG.18	MSTRG.18.2	transcript	20	1.1493436278734	0.0425801124801661	0.177328306454961
.	MSTRG.19	MSTRG.19.1	transcript	21	0.735743383129125	0.170750339481348	0.177328306454961
.	MSTRG.20	MSTRG.20.1	transcript	22	0.965325558448837	0.170760591401074	0.177328306454961
.	MSTRG.21	MSTRG.21.1	transcript	23	0.811742028636144	0.17075212340971	0.177328306454961
.	MSTRG.22	MSTRG.22.1	transcript	24	0.853955748481307	0.170754341100877	0.177328306454961
.	MSTRG.23	MSTRG.23.1	transcript	25	0.820209880936919	0.17075456702236	0.177328306454961
.	MSTRG.24	MSTRG.24.1	transcript	26	0.825876158282251	0.170747068364869	0.177328306454961
.	MSTRG.25	MSTRG.25.1	transcript	27	0.566470948073939	0.17074905281971	0.177328306454961
.	MSTRG.18	MSTRG.18.1	transcript	19	1.04830208710831	0.627306971803427	0.627306971803427
